	epi_isl	submitting_lab	originating_lab
506	EPI1740490	Centers For Disease Control And Prevention	Wisconsin State Laboratory Of Hygiene
507	EPI1641581	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
508	EPI1372484	Centers For Disease Control And Prevention	Centre De Recherche Medicale Et Sanitaire (cermes)
509	EPI1346006	Crick Worldwide Influenza Centre	Institut Pasteur
510	EPI1630598	Centers For Disease Control And Prevention	National Influenza Reference Laboratory
511	EPI1495974	Centers For Disease Control And Prevention	Institute Of Epidemiology And Infectious Diseases Ams Of Ukraine
512	EPI1316817	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
513	EPI1317739	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
514	EPI1485316	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
515	EPI1323271	Centers For Disease Control And Prevention	Royal Centre For Disease Control
516	EPI1495688	Centers For Disease Control And Prevention	Royal Centre For Disease Control
517	EPI1369135	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
518	EPI1310257	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
519	EPI1723559	Centers For Disease Control And Prevention	Pasteur Institut Of Côte D'ivoire
520	EPI1737929	Centers For Disease Control And Prevention	Ncdc Public Health Reference Laboratory
521	EPI1757821	Centers For Disease Control And Prevention	National Influenza Reference Laboratory
522	EPI1737921	Centers For Disease Control And Prevention	Ncdc Public Health Reference Laboratory
523	EPI1648328	Who Chinese National Influenza Center	Who Chinese National Influenza Center
524	EPI1753655	Who Chinese National Influenza Center	Who Chinese National Influenza Center
525	EPI1729847	U.s. Air Force School Of Aerospace Medicine	U.s. Air Force School Of Aerospace Medicine 
526	EPI1731576	Centers For Disease Control And Prevention	Inrb Service De Virologie
527	EPI1757877	Centers For Disease Control And Prevention	Institute National D'hygiene
528	EPI269967	Who Collaborating Centre For Reference And Research On Influenza	Princess Margaret Hospital For Children
529	EPI181739	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
530	EPI232961	Centers For Disease Control And Prevention	Laboratorio De Virus Respiratorio
531	EPI177276	Who Collaborating Centre For Reference And Research On Influenza	Auckland Hospital
532	EPI191939	Centers For Disease Control And Prevention	Pasteur Institut Of Côte D'ivoire
533	EPI220972	Centers For Disease Control And Prevention	Thailand Moph U.s. Cdc Collaboration (ieip)
534	EPI180257	Other Database Import	Who Chinese National Influenza Center
535	EPI216949	Centers For Disease Control And Prevention	U.s. Naval Medical Research Unit No.3
536	EPI178476	National Institute For Medical Research	Central Virology Laboratory Israel (nic)
537	EPI1508492	Centers For Disease Control And Prevention	Marshfield Clinic Research Foundation
538	EPI705910	National Institute For Biological Standards And Control (nibsc)	Naval Health Research Center
539	EPI212345	Other Database Import	Queen Mary Hospital
540	EPI186463	Health Protection Agency (hpa)	Microbiology Services Colindale, Public Health England
541	EPI443017	Kenyatta University	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
542	EPI443067	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
543	EPI267531	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
544	EPI267259	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
545	EPI194164	Centers For Disease Control And Prevention	U.s. Air Force School Of Aerospace Medicine
546	EPI194170	Centers For Disease Control And Prevention	U.s. Air Force School Of Aerospace Medicine
547	EPI1063852	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Pathwest Qe Ii Medical Centre
548	EPI215700	Who Collaborating Centre For Reference And Research On Influenza	Victorian Infectious Diseases Reference Laboratory 
549	EPI215918	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
550	EPI252204	Centers For Disease Control And Prevention	Institute Of Environmental Science & Research
551	EPI181863	Who Collaborating Centre For Reference And Research On Influenza	Victorian Infectious Diseases Reference Laboratory 
552	EPI417288	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
553	EPI273662	Centers For Disease Control And Prevention	Texas Department Of State Health Services Laboratory Services
554	EPI310103	Centers For Disease Control And Prevention	Pennsylvania Department Of Health
555	EPI355228	Centers For Disease Control And Prevention	National Institute Of Health
556	EPI347052	Centers For Disease Control And Prevention	National Institute Of Health
557	EPI269954	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
558	EPI294251	Who Collaborating Centre For Reference And Research On Influenza	Papua New Guinea Institute Of Medical Research
559	EPI217203	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
560	EPI239699	National Institute Of Infectious Diseases (niid)	Yamaguchi Prefectural Institute Of Public Health And Environment
561	EPI1698497	Centers For Disease Control And Prevention	Utah Department Of Health
562	EPI216957	Centers For Disease Control And Prevention	National Virology Laboratory, Center Microbiological Investigations
563	EPI295481	Centers For Disease Control And Prevention	Pennsylvania Department Of Health
564	EPI369824	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
565	EPI295741	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
566	EPI240580	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
567	EPI330300	Who Chinese National Influenza Center	Who Chinese National Influenza Center
568	EPI240460	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
569	EPI443176	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
570	EPI443255	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
571	EPI446078	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
572	EPI443285	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
573	EPI278828	Centers For Disease Control And Prevention	Caribbean Epidemiology Center
574	EPI231506	Centers For Disease Control And Prevention	Ministry Of Health Riyadh
575	EPI189113	Centers For Disease Control And Prevention	Cdc Kenya
576	EPI460838	Centers For Disease Control And Prevention	Us Namru 6
577	EPI243872	Centers For Disease Control And Prevention	Us Namru 6
578	EPI273829	Centers For Disease Control And Prevention	Kentucky Division Of Laboratory Services
579	EPI403815	Other Database Import	Microbiology Services Colindale, Public Health England
580	EPI294690	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
581	EPI273732	Centers For Disease Control And Prevention	Connecticut Department. Of Public Health
582	EPI273822	Centers For Disease Control And Prevention	Montana Public Health Laboratory
583	EPI273819	Centers For Disease Control And Prevention	Montana Public Health Laboratory
584	EPI227676	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
585	EPI446094	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
586	EPI270042	Who Collaborating Centre For Reference And Research On Influenza	Laboratorio De Saude Publico
587	EPI1338959	Who Chinese National Influenza Center	Shanghai Municipal Center For Disease Control And Prevention
588	EPI269960	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
589	EPI279115	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science And Research
590	EPI279032	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
591	EPI279000	Who Collaborating Centre For Reference And Research On Influenza	Influenza Surveillance Centre For Disease Control
592	EPI279232	Who Collaborating Centre For Reference And Research On Influenza	Influenza Surveillance Centre For Disease Control
593	EPI295752	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
594	EPI279024	Who Collaborating Centre For Reference And Research On Influenza	Victorian Infectious Diseases Reference Laboratory 
595	EPI269921	Who Collaborating Centre For Reference And Research On Influenza	Pihoa Regional Public Health Laboratory Services
596	EPI319168	Who Collaborating Centre For Reference And Research On Influenza	Influenza Surveillance Centre For Disease Control
597	EPI319172	Who Collaborating Centre For Reference And Research On Influenza	Influenza Surveillance Centre For Disease Control
598	EPI319176	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
599	EPI319178	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
600	EPI355516	Centers For Disease Control And Prevention	Laboratorio De Virus Respiratorio
601	EPI357513	Usamru K	Us Army Medical Research Unit   Kenya (usamru K), Geis Human Influenza Program
602	EPI446110	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
603	EPI330986	Centers For Disease Control And Prevention	California Department Of Health Services
604	EPI330857	Who Chinese National Influenza Center	Who Chinese National Influenza Center
605	EPI1604354	University Of Tokyo	Osaka Prefectural Institute Of Public Health
606	EPI1604164	University Of Tokyo	University Of Tokyo, Institute Of Medical Science
607	EPI310161	Centers For Disease Control And Prevention	Washington State Public Health Laboratory
608	EPI379536	Who Collaborating Centre For Reference And Research On Influenza	Who National Influenza Centre, National Institute Of Medical Research (nimr)
609	EPI450265	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
610	EPI349269	Who Collaborating Centre For Reference And Research On Influenza	Childrens Hospital Westmead
611	EPI335637	Who Collaborating Centre For Reference And Research On Influenza	Westmead Hospital
612	EPI357636	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
613	EPI334770	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
614	EPI334782	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
615	EPI349297	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
616	EPI394292	Who Collaborating Centre For Reference And Research On Influenza	Ministry Of Health, Singapore
617	EPI450282	Who Collaborating Centre For Reference And Research On Influenza	Who National Influenza Centre, National Institute Of Medical Research (nimr)
618	EPI417243	Who Collaborating Centre For Reference And Research On Influenza	Auckland Hospital
619	EPI353292	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
620	EPI349237	Who Collaborating Centre For Reference And Research On Influenza	Canterbury Health Services
621	EPI331650	Who Collaborating Centre For Reference And Research On Influenza	Royal Hobart Hospital
622	EPI379577	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
623	EPI368661	Centers For Disease Control And Prevention	North Carolina State Laboratory Of Public Health
624	EPI376377	Centers For Disease Control And Prevention	North Carolina State Laboratory Of Public Health
625	EPI359690	Centers For Disease Control And Prevention	Laboratorio De Virus Respiratorio
626	EPI375543	Centers For Disease Control And Prevention	Colorado Department Of Health Lab
627	EPI386003	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
628	EPI368668	Centers For Disease Control And Prevention	Florida Department Of Health Tampa
629	EPI536169	Institut Pasteur	Crr Virus Influenza Region Sud
630	EPI393774	Centers For Disease Control And Prevention	New York State Department Of Health
631	EPI353907	Centers For Disease Control And Prevention	Laboratorio De Virus Respiratorio
632	EPI357616	Who Collaborating Centre For Reference And Research On Influenza	Canterbury Health Services
633	EPI349209	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
634	EPI334788	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
635	EPI349186	Who Collaborating Centre For Reference And Research On Influenza	Austin Health
636	EPI359687	Centers For Disease Control And Prevention	Queensland Health Scientific Services
637	EPI1027922	University College London	Universitas Udayana
638	EPI394283	Who Collaborating Centre For Reference And Research On Influenza	National Centre For Scientific Services For Virology  And Vector Borne Diseases
639	EPI330689	Who Chinese National Influenza Center	Who Chinese National Influenza Center
640	EPI330340	Who Chinese National Influenza Center	Who Chinese National Influenza Center
641	EPI330697	Who Chinese National Influenza Center	Who Chinese National Influenza Center
642	EPI330865	Who Chinese National Influenza Center	Who Chinese National Influenza Center
643	EPI330188	Who Chinese National Influenza Center	Who Chinese National Influenza Center
644	EPI330849	Who Chinese National Influenza Center	Who Chinese National Influenza Center
645	EPI332585	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
646	EPI330324	Who Chinese National Influenza Center	Who Chinese National Influenza Center
647	EPI330665	Who Chinese National Influenza Center	Who Chinese National Influenza Center
648	EPI1027905	University College London	Universitas Udayana
649	EPI484232	Swedish National Institute For Communicable Disease Control	Swedish Institute For Infectious Disease Control
650	EPI477471	Who Collaborating Centre For Reference And Research On Influenza	Royal Darwin Hospital
651	EPI1604165	University Of Tokyo	University Of Tokyo, Institute Of Medical Science
652	EPI491256	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
653	EPI1025374	University College London	Universitas Udayana
654	EPI369830	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
655	EPI446155	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
656	EPI446118	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
657	EPI446134	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
658	EPI446142	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
659	EPI446126	Kenya Medical Research Institute	Ari Unit, Kenya Medical Research Institute (kemri   Nic), Centre For Virus Research Annex, P.o Box 54628
660	EPI332606	Centers For Disease Control And Prevention	Michigan Department Of Community Health
661	EPI1027871	University College London	Universitas Udayana
662	EPI351732	Swedish Institute For Infectious Disease Control	Swedish Institute For Infectious Disease Control
663	EPI580185	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
664	EPI580164	Centers For Disease Control And Prevention	Uganda Virus Research Institute (uvri), National Influenza Center
665	EPI1025290	University College London	Universitas Udayana
666	EPI1027980	University College London	Universitas Udayana
667	EPI1027913	University College London	Universitas Udayana
668	EPI1024881	University College London	Universitas Udayana
669	EPI1023875	University College London	Universitas Udayana
670	EPI1025324	University College London	Universitas Udayana
671	EPI450228	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
672	EPI1025365	University College London	Universitas Udayana
673	EPI1024873	University College London	Universitas Udayana
674	EPI1025341	University College London	Universitas Udayana
675	EPI1023910	University College London	Universitas Udayana
676	EPI1025349	University College London	Universitas Udayana
677	EPI1025357	University College London	Universitas Udayana
678	EPI406035	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
679	EPI477503	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
680	EPI376371	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
681	EPI536089	Institut Pasteur	Crr Virus Influenza Region Sud
682	EPI342434	Centers For Disease Control And Prevention	Kentucky Division Of Laboratory Services
683	EPI357613	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
684	EPI370307	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
685	EPI333084	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
686	EPI349240	Who Collaborating Centre For Reference And Research On Influenza	Pathwest Qe Ii Medical Centre
687	EPI333090	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
688	EPI333114	Who Collaborating Centre For Reference And Research On Influenza	John Hunter Hospital, Virology Unit, Clinical Microbiology
689	EPI320063	Centers For Disease Control And Prevention	Minnesota Department Of Health
690	EPI349229	Who Collaborating Centre For Reference And Research On Influenza	Westmead Hospital
691	EPI332646	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
692	EPI416204	Centers For Disease Control And Prevention	All India Institute Of Medical Sciences
693	EPI466874	Centers For Disease Control And Prevention	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
694	EPI529436	Who Collaborating Centre For Reference And Research On Influenza	Royal Darwin Hospital
695	EPI484959	Centers For Disease Control And Prevention	Laboratorio Nacional De Influenza
696	EPI485754	Centers For Disease Control And Prevention	Pennsylvania Department Of Health
697	EPI515489	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
698	EPI515362	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
699	EPI465070	Centers For Disease Control And Prevention	Puerto Rico Department Of Health
700	EPI1604362	University Of Tokyo	Osaka Prefectural Institute Of Public Health
701	EPI507041	National Institute Of Infectious Diseases (niid)	Kanagawa Prefectural Institute Of Public Health
702	EPI491199	Who Collaborating Centre For Reference And Research On Influenza	Papua New Guinea Institute Of Medical Research
703	EPI499568	National Institute For Medical Research	Microbiology Services Colindale, Public Health England
704	EPI491509	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
705	EPI477487	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
706	EPI529400	Who Collaborating Centre For Reference And Research On Influenza	Clinical Virology Unit, Cdim
707	EPI460898	National Institute Of Infectious Diseases (niid)	Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute
708	EPI677693	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
709	EPI529444	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
710	EPI497687	Health Protection Agency	Microbiology Services Colindale, Public Health England
711	EPI540918	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
712	EPI544106	Ministry Of Health, Singapore	Ministry Of Health, Singapore
713	EPI529411	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
714	EPI526840	Who Collaborating Centre For Reference And Research On Influenza	Royal Chidrens Hospital
715	EPI529419	Who Collaborating Centre For Reference And Research On Influenza	Who National Influenza Centre, National Institute Of Medical Research (nimr)
716	EPI544138	Ministry Of Health, Singapore	Ministry Of Health, Singapore
717	EPI684410	Centers For Disease Control And Prevention	National Institute For Communicable Disease
718	EPI626124	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
719	EPI567760	Centers For Disease Control And Prevention	New York State Department Of Health
720	EPI630419	National Institute Of Infectious Diseases (niid)	National Institute Of Virology
721	EPI716243	Centers For Disease Control And Prevention	National Institute Of Health
722	EPI715916	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
723	EPI695461	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
724	EPI725903	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
725	EPI715932	Centers For Disease Control And Prevention	Instituto De Salud Publica De Chile 
726	EPI725895	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
727	EPI725887	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
728	EPI575857	Centers For Disease Control And Prevention	Inrb Service De Virologie
729	EPI534013	Centers For Disease Control And Prevention	Colorado Department Of Health Lab
730	EPI587750	Centers For Disease Control And Prevention	U.s. Naval Medical Research Unit No.3
731	EPI565000	Centers For Disease Control And Prevention	Ethiopian Health And Nutrition Research Institute (ehnri)
732	EPI565008	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
733	EPI564992	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
734	EPI625948	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
735	EPI638894	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
736	EPI638946	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
737	EPI759760	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
738	EPI636258	Who Collaborating Centre For Reference And Research On Influenza	Royal Hobart Hospital
739	EPI980261	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
740	EPI768494	Centers For Disease Control And Prevention	Pasteur Institute, Influenza Laboratory
741	EPI638930	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
742	EPI638865	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
743	EPI564944	Centers For Disease Control And Prevention	Ethiopian Health And Nutrition Research Institute (ehnri)
744	EPI564936	Centers For Disease Control And Prevention	Ethiopian Health And Nutrition Research Institute (ehnri)
745	EPI564828	National Institute Of Infectious Diseases (niid)	Center For Disease Control
746	EPI567688	Centers For Disease Control And Prevention	Ministry Of Health Bahrain
747	EPI587766	Centers For Disease Control And Prevention	U.s. Naval Medical Research Unit No.3
748	EPI575899	Centers For Disease Control And Prevention	Puerto Rico Department Of Health
749	EPI575885	Centers For Disease Control And Prevention	Puerto Rico Department Of Health
750	EPI620307	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
751	EPI586627	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
752	EPI586595	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
753	EPI586603	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
754	EPI586619	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
755	EPI586636	Centers For Disease Control And Prevention	Instituto Nacional De Salud De Columbia
756	EPI638882	Centers For Disease Control And Prevention	Inspi
757	EPI567696	Centers For Disease Control And Prevention	Washington State Public Health Laboratory
758	EPI564960	Centers For Disease Control And Prevention	University Of Virginia, Medical Labs/microbiology
759	EPI611033	Centers For Disease Control And Prevention	California Department Of Health Services
760	EPI643494	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
761	EPI629161	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
762	EPI636078	Who Collaborating Centre For Reference And Research On Influenza	Namru 2, Cambodia
763	EPI626052	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
764	EPI643377	Centers For Disease Control And Prevention	National Center For Laboratory And Epidemiology
765	EPI629073	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
766	EPI713019	National Institute Of Infectious Diseases (niid)	National Public Health Laboratory
767	EPI713035	National Institute Of Infectious Diseases (niid)	National Public Health Laboratory
768	EPI629305	Centers For Disease Control And Prevention	Ivanovsky Research Institute Of Virology Rams
769	EPI704136	Who Collaborating Centre For Reference And Research On Influenza	University Malaya
770	EPI651815	Centers For Disease Control And Prevention	Ministry Of Health, Nihrd
771	EPI564928	Centers For Disease Control And Prevention	National Institute Of Health
772	EPI564968	Centers For Disease Control And Prevention	National Institute Of Health
773	EPI564920	Centers For Disease Control And Prevention	National Institute Of Health
774	EPI980357	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
775	EPI710771	National Institute Of Infectious Diseases (niid)	Center For Disease Control
776	EPI756765	Centers For Disease Control And Prevention	Indiana State Department Of Health Laboratories
777	EPI788564	Ministry Of Health, Singapore	Ministry Of Health, Singapore
778	EPI710787	National Institute Of Infectious Diseases (niid)	Center For Disease Control
779	EPI699804	Centers For Disease Control And Prevention	Minnesota Department Of Health
780	EPI755841	National Institute Of Infectious Diseases (niid)	Yamagata Prefectural Institute Of Public Health
781	EPI961565	Beijing Institute Of Microbiology And Epidemiology	Beijing Institute Of Microbiology And Epidemiology
782	EPI1017583	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
783	EPI709630	Centers For Disease Control And Prevention	Iowa State Hygienic Laboratory
784	EPI697240	Who Chinese National Influenza Center	Who Chinese National Influenza Center
785	EPI769362	National Institute Of Infectious Diseases (niid)	Chiba City Institute Of Health And Environment
786	EPI793183	Who Collaborating Centre For Reference And Research On Influenza	Monash Medical Centre
787	EPI710554	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
788	EPI736128	National Institute Of Infectious Diseases (niid)	Center For Public Health And Environment, Hiroshima Prefectural Technology Research Institute
789	EPI697264	Who Chinese National Influenza Center	Who Chinese National Influenza Center
790	EPI840860	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
791	EPI711775	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
792	EPI626291	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
793	EPI611152	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
794	EPI547609	Centers For Disease Control And Prevention	Alaska State Virology Lab
795	EPI551392	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
796	EPI541256	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
797	EPI551380	Who Collaborating Centre For Reference And Research On Influenza	Canterbury Health Services
798	EPI540924	Who Collaborating Centre For Reference And Research On Influenza	Royal Hobart Hospital
799	EPI625580	Centers For Disease Control And Prevention	National Institute Of Health
800	EPI629835	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
801	EPI631450	Centers For Disease Control And Prevention	Government Virus Unit
802	EPI564834	National Institute Of Infectious Diseases (niid)	Center For Disease Control
803	EPI768510	Centers For Disease Control And Prevention	Pasteur Institute, Influenza Laboratory
804	EPI631442	Centers For Disease Control And Prevention	Florida Department Of Health Tampa
805	EPI575913	Centers For Disease Control And Prevention	Puerto Rico Department Of Health
806	EPI575864	Centers For Disease Control And Prevention	Puerto Rico Department Of Health
807	EPI575850	Centers For Disease Control And Prevention	Puerto Rico Department Of Health
808	EPI565048	Centers For Disease Control And Prevention	Government Virus Unit
809	EPI565024	Centers For Disease Control And Prevention	Government Virus Unit
810	EPI565040	Centers For Disease Control And Prevention	Government Virus Unit
811	EPI552447	Centers For Disease Control And Prevention	Iowa State Hygienic Laboratory
812	EPI567720	Centers For Disease Control And Prevention	Iowa State Hygienic Laboratory
813	EPI567744	Centers For Disease Control And Prevention	Iowa State Hygienic Laboratory
814	EPI567672	Centers For Disease Control And Prevention	Iowa State Hygienic Laboratory
815	EPI567656	Centers For Disease Control And Prevention	Iowa State Hygienic Laboratory
816	EPI551353	Who Collaborating Centre For Reference And Research On Influenza	Auckland Hospital
817	EPI632386	Centers For Disease Control And Prevention	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
818	EPI638376	Centers For Disease Control And Prevention	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
819	EPI638352	Centers For Disease Control And Prevention	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
820	EPI638392	Centers For Disease Control And Prevention	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
821	EPI725309	Centers For Disease Control And Prevention	Laboratorio De Virologia, Direccion De Microbiologia
822	EPI830503	Centers For Disease Control And Prevention	Laboratorio Nacional De Salud Guatemala
823	EPI725325	Centers For Disease Control And Prevention	Laboratorio De Virologia, Direccion De Microbiologia
824	EPI725293	Centers For Disease Control And Prevention	Laboratorio De Virologia, Direccion De Microbiologia
825	EPI858532	Centers For Disease Control And Prevention	Laboratorio Nacional De Influenza
826	EPI725966	Centers For Disease Control And Prevention	Laboratorio Nacional De Influenza
827	EPI830519	Centers For Disease Control And Prevention	Laboratorio Nacional De Salud Guatemala
828	EPI554651	Centers For Disease Control And Prevention	Florida Department Of Health Jacksonville
829	EPI551823	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
830	EPI565016	Centers For Disease Control And Prevention	State Of Hawaii Department Of Health
831	EPI564912	Centers For Disease Control And Prevention	New Hampshire Public Health Laboratories
832	EPI638902	Centers For Disease Control And Prevention	Contiguo A Hospital Rosales
