rate_type,clade_1,clade_2,mut_rate_distance,is_Omicron
no_GtoT_rates,21I,21L,0.19169,mixed
clr_rates,21I,21L,0.89342,mixed
rates,21I,22A,1.1042,mixed
no_GtoT_rates,21I,22A,0.26309,mixed
clr_rates,21I,22A,1.195,mixed
rates,21I,22B,1.0111,mixed
no_GtoT_rates,21I,22B,0.22775,mixed
clr_rates,21I,22B,1.1097,mixed
rates,21I,22C,1.0886,mixed
no_GtoT_rates,21I,22C,0.18959,mixed
clr_rates,21I,22C,1.0897,mixed
rates,21J,21K,1.2189,mixed
no_GtoT_rates,21J,21K,0.10269,mixed
clr_rates,21J,21K,1.1557,mixed
rates,21J,21L,1.1162,mixed
no_GtoT_rates,21J,21L,0.20056,mixed
clr_rates,21J,21L,0.7808,mixed
rates,21J,22A,1.0506,mixed
no_GtoT_rates,21J,22A,0.30255,mixed
clr_rates,21J,22A,1.4544,mixed
rates,21J,22B,0.95807,mixed
no_GtoT_rates,21J,22B,0.27182,mixed
clr_rates,21J,22B,1.3828,mixed
rates,21J,22C,1.0298,mixed
no_GtoT_rates,21J,22C,0.21359,mixed
clr_rates,21J,22C,1.367,mixed
rates,21K,21L,0.19301,Omicron
no_GtoT_rates,21K,21L,0.17256,Omicron
clr_rates,21K,21L,0.60464,Omicron
rates,21K,22A,0.30573,Omicron
no_GtoT_rates,21K,22A,0.25953,Omicron
clr_rates,21K,22A,0.87132,Omicron
rates,21K,22B,0.35643,Omicron
no_GtoT_rates,21K,22B,0.23311,Omicron
clr_rates,21K,22B,0.84266,Omicron
rates,21K,22C,0.25657,Omicron
no_GtoT_rates,21K,22C,0.17402,Omicron
clr_rates,21K,22C,0.83699,Omicron
rates,21L,22A,0.18353,Omicron
no_GtoT_rates,21L,22A,0.17908,Omicron
clr_rates,21L,22A,1.2415,Omicron
rates,21L,22B,0.27628,Omicron
no_GtoT_rates,21L,22B,0.23456,Omicron
clr_rates,21L,22B,1.185,Omicron
rates,21L,22C,0.11867,Omicron
no_GtoT_rates,21L,22C,0.084721,Omicron
clr_rates,21L,22C,1.1765,Omicron
rates,22A,22B,0.14527,Omicron
no_GtoT_rates,22A,22B,0.12733,Omicron
clr_rates,22A,22B,0.32766,Omicron
rates,22A,22C,0.1292,Omicron
no_GtoT_rates,22A,22C,0.14336,Omicron
clr_rates,22A,22C,0.26659,Omicron
rates,22B,22C,0.2042,Omicron
no_GtoT_rates,22B,22C,0.20393,Omicron
clr_rates,22B,22C,0.29981,Omicron
